Compound,Name,L,B1,B5,d-total,ONBO,NNBO,CNBO,HOMO,LUMO
4-oxo-TEMPO,Hyd-A,6.35,2.37,4.44,3.1372,-0.59982,-0.19147,0.1293,-0.29782,0.01955
ABNO,Hyd-B,6.53,1.89,4.85,0.6866,-0.60863,-0.16899,-0.05893,-0.28112,0.05767
AZADO,Hyd-C,6.42,1.85,4.93,0.6884,-0.60853,-0.16835,-0.06537,-0.28043,0.0552
KetoABNO,Hyd-D,6.50,1.87,5.44,3.5418,-0.60878,-0.16128,-0.05613,-0.3042,0.02759
TEMPO,Hyd-E,6.45,2.39,4.44,0.7751,-0.6054,-0.18893,0.11759,-0.28198,0.0566
TEMPO-4OMe,Hyd-F,7.00,2.39,5.41,1.7536,-0.60241,-0.19126,0.11845,-0.28119,0.05421
