id,L_x,B1_x,B5_x,d-total_x,HNBO,CNBO_x,ONBO_x,HOMO_x,LUMO_x,L_y,B1_y,B5_y,d-total_y,NBO (N)_x,HOMO_y,LUMO_y,L_x,B1_x,B5_x,d-total_x,ONBO_y,NNBO,CNBO_y,HOMO_x,LUMO_x,L_y,B1_y,B5_y,d-total_y,NBO (N)_y,HOMO_y,LUMO_y
Sub-A_Base-A_Hyd-D_LigA-C,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,6.5,1.87,5.44,3.5418,-0.60878,-0.16128,-0.05612999999999999,-0.3042,0.027589999999999996,1,1,1,0.0019,-0.43188000000000004,-0.28599,-0.02248
Sub-A_Base-A_Hyd-D_LigA-D,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,6.5,1.87,5.44,3.5418,-0.60878,-0.16128,-0.05612999999999999,-0.3042,0.027589999999999996,1,1,1,0.0005,-0.44773,-0.28831999999999997,-0.01581
Sub-A_Base-A_Hyd-D_LigA-E,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,6.5,1.87,5.44,3.5418,-0.60878,-0.16128,-0.05612999999999999,-0.3042,0.027589999999999996,1,1,1,0.0,-0.43028999999999995,-0.28423000000000004,-0.01779
Sub-A_Base-A_Hyd-D_LigA-F,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,6.5,1.87,5.44,3.5418,-0.60878,-0.16128,-0.05612999999999999,-0.3042,0.027589999999999996,1,1,1,2.1727,-0.39028,-0.27518000000000004,-0.02313
Sub-A_Base-A_Hyd-E_LigA-A,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,6.45,2.39,4.44,0.7751,-0.6054,-0.18893,0.11759000000000001,-0.28198,0.0566,1,1,1,0.0002,-0.42376,-0.29094000000000003,-0.02595
Sub-A_Base-A_Hyd-E_LigA-B,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,6.45,2.39,4.44,0.7751,-0.6054,-0.18893,0.11759000000000001,-0.28198,0.0566,1,1,1,0.0434,-0.40617,-0.31779,-0.05276
Sub-A_Base-A_Hyd-E_LigA-C,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,6.45,2.39,4.44,0.7751,-0.6054,-0.18893,0.11759000000000001,-0.28198,0.0566,1,1,1,0.0019,-0.43188000000000004,-0.28599,-0.02248
Sub-A_Base-A_Hyd-E_LigA-D,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,6.45,2.39,4.44,0.7751,-0.6054,-0.18893,0.11759000000000001,-0.28198,0.0566,1,1,1,0.0005,-0.44773,-0.28831999999999997,-0.01581
Sub-A_Base-A_Hyd-E_LigA-E,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,6.45,2.39,4.44,0.7751,-0.6054,-0.18893,0.11759000000000001,-0.28198,0.0566,1,1,1,0.0,-0.43028999999999995,-0.28423000000000004,-0.01779
Sub-A_Base-A_Hyd-E_LigA-F,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,6.45,2.39,4.44,0.7751,-0.6054,-0.18893,0.11759000000000001,-0.28198,0.0566,1,1,1,2.1727,-0.39028,-0.27518000000000004,-0.02313
Sub-A_Base-A_Hyd-F_LigA-A,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,7.0,2.39,5.41,1.7536,-0.60241,-0.19125999999999999,0.11845,-0.28119,0.05421,1,1,1,0.0002,-0.42376,-0.29094000000000003,-0.02595
Sub-A_Base-A_Hyd-F_LigA-B,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,4.1497,-0.45925,-0.28365999999999997,0.05633,7.0,2.39,5.41,1.7536,-0.60241,-0.19125999999999999,0.11845,-0.28119,0.05421,1,1,1,0.0434,-0.40617,-0.31779,-0.05276
