nclusters,silhouettescore
3.0,0.12050117454614329
2.0,0.11552882221002136
4.0,0.09358821258174663
7.0,0.08114221761353617
27.0,0.0746515168156979
6.0,0.07178700717530163
34.0,0.0713054354323916
26.0,0.07088793206555126
28.0,0.07055723185944614
15.0,0.07050584848218007
29.0,0.0689125864727204
13.0,0.06868963520022299
16.0,0.06777886375137647
11.0,0.06665799081374889
10.0,0.0665669289311034
14.0,0.06630693670007537
33.0,0.06600947136028784
31.0,0.0651951478700727
8.0,0.06497714167081164
17.0,0.06419930069571554
30.0,0.06386554775529539
9.0,0.0636984853817424
45.0,0.06293838047783666
24.0,0.06223964877633125
48.0,0.06215768233980048
23.0,0.06157463755101559
46.0,0.06112991581939985
25.0,0.06088693207384876
18.0,0.06070448691571509
32.0,0.060361440324106515
49.0,0.05995166191478011
44.0,0.05984026355098255
47.0,0.05941160572426892
5.0,0.0584168136310998
41.0,0.05795819996034626
19.0,0.05732740182982697
20.0,0.0552381640913141
35.0,0.05518558894351431
42.0,0.05448017576229879
38.0,0.05431651076265582
40.0,0.05410120574266874
37.0,0.05403397057684872
39.0,0.05396103147238005
43.0,0.05211984726298121
36.0,0.05034677910938612
21.0,0.05021940132703276
