nclusters,silhouettescore
3.0,0.14541041381559527
10.0,0.14816056120001833
5.0,0.1502821283637313
14.0,0.1505414108513634
9.0,0.1511464230730362
6.0,0.15281744154257434
4.0,0.153691005493252
11.0,0.1542294904702013
17.0,0.15454713067373785
12.0,0.15491859584854825
7.0,0.15970757584024448
18.0,0.16004091913141857
8.0,0.1606261332131233
13.0,0.16147185842827974
2.0,0.16365366276426802
15.0,0.1643991633973476
20.0,0.164918612981366
16.0,0.16956623996100575
24.0,0.17686318907995607
19.0,0.1782689252197999
26.0,0.1802929224522114
21.0,0.1847030753052574
32.0,0.1847330470615971
22.0,0.18519999133223103
25.0,0.1854304359085216
30.0,0.1855330491404905
31.0,0.1889564781145343
23.0,0.18936457968853407
34.0,0.19020534281878354
28.0,0.1904122500750904
35.0,0.19428104662940263
27.0,0.1954143586406363
36.0,0.19660060628876697
42.0,0.19702515716700356
37.0,0.19769618417340887
29.0,0.19773530830196248
38.0,0.19801391159217624
43.0,0.20130453064932533
40.0,0.2038070994244013
33.0,0.20410332353887065
39.0,0.20475776470235765
48.0,0.20512696325185675
41.0,0.20624569661536288
49.0,0.20838104773474803
46.0,0.20999659583854663
47.0,0.21090293793390036
44.0,0.21143194498234258
45.0,0.2120208429153979
