nclusters,silhouettescore
7.0,0.13447684293986073
10.0,0.13428589245546232
9.0,0.13288032756089463
5.0,0.13095581154386624
8.0,0.13062842135294261
3.0,0.12069312122431605
4.0,0.11647907428654233
2.0,0.11565966704492892
6.0,0.11144959017555962
11.0,0.10639825535608752
19.0,0.09906229557973303
22.0,0.09680847426873586
20.0,0.09672010122793452
21.0,0.09506508232289879
23.0,0.09437119416716414
17.0,0.09363955967744306
18.0,0.09312792089380008
16.0,0.09187185281683788
24.0,0.0852496250669255
12.0,0.08502444086659347
25.0,0.08267595329053
46.0,0.08163617970858655
45.0,0.07962645093985007
13.0,0.07475923094353266
42.0,0.07414613740113474
44.0,0.07370784438320918
40.0,0.07294427220790785
41.0,0.06605810156110788
43.0,0.06597461120935266
47.0,0.06383888722134355
48.0,0.06177456928933783
14.0,0.059678792938648494
15.0,0.05708536997684875
49.0,0.056829031299127516
28.0,0.05645813810366216
29.0,0.055824587962708686
32.0,0.05396025221001312
31.0,0.052731124271517105
33.0,0.05168029780463328
26.0,0.05103825885697356
