nclusters,silhouettescore
45.0,0.21581958202449888
41.0,0.21437064407054734
47.0,0.21426102391699992
49.0,0.2137005945196956
42.0,0.2092803638185543
46.0,0.2081070348571598
48.0,0.20802042590148753
40.0,0.20798952512417185
44.0,0.20643611910614035
34.0,0.2058584868241437
37.0,0.205582339600191
32.0,0.20502331283680597
33.0,0.20397532436773488
38.0,0.20367511435364588
39.0,0.20195453716693024
43.0,0.20165323913400057
31.0,0.20065292756896488
35.0,0.1988061191722187
30.0,0.19855448235371706
36.0,0.19634527606390736
24.0,0.19311116546604148
29.0,0.19117533707503662
27.0,0.1903280764586094
26.0,0.18859370720169455
28.0,0.18839875109897536
25.0,0.18801013094062619
22.0,0.18428657144948168
21.0,0.1840701245836369
16.0,0.1827452465690295
20.0,0.17992473215949284
17.0,0.17760277672589958
19.0,0.17596267877996646
18.0,0.1758235448255929
23.0,0.17204957860723064
10.0,0.16388674457092092
15.0,0.1632423386619726
8.0,0.16012787805433762
5.0,0.15768467054556556
6.0,0.15733936029916687
14.0,0.1547679174640579
13.0,0.15376833932181863
7.0,0.15373976960184513
12.0,0.15071780126283946
3.0,0.14859115585349564
4.0,0.14820771575789274
9.0,0.14403731016176224
11.0,0.14357927801523893
2.0,0.14101795408323206
