nclusters,silhouettescore
3.0,0.14038928870169032
10.0,0.14065768411835664
2.0,0.1407169505505525
7.0,0.1463750708923779
9.0,0.14896174563983988
15.0,0.14958231188175414
8.0,0.1522526219769915
6.0,0.15494382326572287
4.0,0.15986568805168466
11.0,0.1598765479657045
13.0,0.16050083707890272
14.0,0.16208554806967695
5.0,0.16266955229028676
17.0,0.16355006350846268
19.0,0.16546966259529947
22.0,0.16774404062943923
18.0,0.1687336787173677
12.0,0.16927973913019073
16.0,0.17149997491915733
27.0,0.17454074718362117
26.0,0.1756252178926116
21.0,0.17585487725945564
25.0,0.17885748792798148
30.0,0.17909290116984242
20.0,0.17912740161547455
24.0,0.1808523974389047
23.0,0.184334086094956
29.0,0.18536324733858775
28.0,0.18669567606096
39.0,0.18848603036193176
36.0,0.18911785930618097
43.0,0.1894956484251553
31.0,0.18976226518397826
35.0,0.19005323202930488
34.0,0.19075913344125578
33.0,0.19113980019698598
41.0,0.19148809596434704
45.0,0.1922357089059206
32.0,0.19364623148874516
37.0,0.19592961264180653
46.0,0.19638466163916216
48.0,0.19835775248073376
40.0,0.19864832624360873
47.0,0.20046742943560028
49.0,0.2012547091198
42.0,0.20157807861238478
44.0,0.20161337663565407
38.0,0.20528964824467924
