nclusters,silhouettescore
46.0,0.21543851676284798
47.0,0.2145711913233231
48.0,0.2127660904404677
41.0,0.21237467843186533
44.0,0.20991472815964954
49.0,0.20880933961822457
31.0,0.2087302262990037
38.0,0.20737670662089833
42.0,0.20668064649858064
33.0,0.20562386366173085
37.0,0.20536476399798814
43.0,0.20513725669709118
45.0,0.20467612678510494
40.0,0.20393366514356573
30.0,0.19985334906378305
39.0,0.19969124154309123
35.0,0.19960775723523988
29.0,0.19845177552933219
32.0,0.19813833294525562
28.0,0.1974438098849623
34.0,0.1942218021143922
14.0,0.19290848951370893
27.0,0.18864358862452593
26.0,0.18775144030997654
36.0,0.18543657684669004
24.0,0.18241701292081158
22.0,0.18031609993176362
25.0,0.17686118085913924
17.0,0.17556464695516488
21.0,0.17415929010289793
23.0,0.17295694962509428
20.0,0.1727714157382571
18.0,0.1708054362815653
3.0,0.1666809782833384
15.0,0.16632034821577169
16.0,0.1656579177600746
19.0,0.16479596441881822
2.0,0.16338873362968884
10.0,0.16058714358596593
12.0,0.15837489403801616
11.0,0.1557830421920057
13.0,0.15566087657609276
9.0,0.1554566800459824
4.0,0.15091322228220833
8.0,0.14695742580659352
6.0,0.1347187996082513
5.0,0.13419794786701814
7.0,0.12624652536230704
