nclusters,silhouettescore
46.0,0.20152914953447706
45.0,0.19781695573527683
48.0,0.19545119917723666
49.0,0.19484721579270345
35.0,0.1946852409500983
39.0,0.19459714218094573
44.0,0.19321621003226064
43.0,0.19028162783007713
42.0,0.19016190576274192
37.0,0.1892325332338534
41.0,0.18866715285917912
36.0,0.18739139152459874
34.0,0.18722161902959952
29.0,0.18365366714548625
33.0,0.18356624494118634
40.0,0.18343855829212516
30.0,0.18276666440693282
47.0,0.18258799094620104
38.0,0.17900719373295276
27.0,0.1744640002023814
32.0,0.1721289158417558
31.0,0.1713455182589336
19.0,0.17015449832374663
21.0,0.16897267663929103
26.0,0.16856890403025135
28.0,0.16821830828854936
13.0,0.16574866158413917
24.0,0.16553678580553113
23.0,0.16521748729689306
2.0,0.16330424162451773
11.0,0.1622860285501618
17.0,0.16217879180037154
22.0,0.1619512447161193
20.0,0.16181961227884978
12.0,0.16142896407783683
25.0,0.1611500794391527
18.0,0.1566430339632757
9.0,0.15619148488103912
14.0,0.15439902644010897
4.0,0.15329852912041347
10.0,0.15122974562611982
7.0,0.1499923620941807
15.0,0.14897448518884976
5.0,0.14854262149339267
8.0,0.1462781171341231
3.0,0.14506505436635625
6.0,0.14130314707528635
16.0,0.13664482705812
