nclusters,silhouettescore
2.0,0.14101795408323206
4.0,0.1376233788952431
5.0,0.08593893881060474
3.0,0.066845033586206
39.0,0.05618617954886072
40.0,0.05532739685154883
6.0,0.053598015571619154
