nclusters,silhouettescore
3.0,0.13674449014734874
2.0,0.14096215782498817
6.0,0.14806737052738356
7.0,0.14954594239912197
8.0,0.15049195520906225
5.0,0.15183704462460457
4.0,0.15235537117832892
10.0,0.15449892884771335
11.0,0.15986317663255373
12.0,0.16327881094007954
16.0,0.16462572839757955
9.0,0.165978429201675
19.0,0.16628381951037235
26.0,0.1680510164964206
18.0,0.16897668952229256
20.0,0.17050420826385645
17.0,0.17083829633758998
24.0,0.17099152493210085
28.0,0.17118892966098315
13.0,0.17152825137416294
22.0,0.1719795265883601
21.0,0.17199476925808171
25.0,0.17224522206325377
31.0,0.1731061622166928
15.0,0.17335956549158799
27.0,0.1754867966912499
29.0,0.17768832453348238
33.0,0.17816040612747394
23.0,0.17864831645187282
30.0,0.1788049674077118
14.0,0.18000267859245495
32.0,0.18159420466871698
34.0,0.18576833235892143
37.0,0.1869424670394195
38.0,0.1879330672540151
43.0,0.18827331768282418
36.0,0.1906083283866518
42.0,0.19165650697288059
35.0,0.19199286838227803
47.0,0.19209556322760066
39.0,0.1971766068305874
45.0,0.19747112692750618
41.0,0.1981812266805131
40.0,0.1985852127577767
48.0,0.19982724542696884
44.0,0.19997966300537798
49.0,0.20235321467234565
46.0,0.2045178961612884
