nclusters,silhouettescore
2.0,0.11527789795207675
3.0,0.0913211843623162
5.0,0.07142242731832224
9.0,0.07074546434237607
10.0,0.06725966559467643
8.0,0.06491211433704978
45.0,0.0642167173386961
6.0,0.06247656264144665
46.0,0.06129258981898996
20.0,0.06067762131606618
21.0,0.05846295276797609
27.0,0.05582978956265065
28.0,0.05538707337248918
29.0,0.055048944800637926
26.0,0.05303605458871781
23.0,0.052913429394571485
44.0,0.051496839597062555
7.0,0.050983763394677244
38.0,0.050749885078770714
16.0,0.050741285480365134
