nclusters,silhouettescore
49.0,0.19807561445647778
47.0,0.19776886518340864
48.0,0.19674650020561224
37.0,0.19629733131918298
46.0,0.19501039534081913
45.0,0.19443248660017248
42.0,0.1939866803488391
43.0,0.19266554522984236
38.0,0.19209680009788027
31.0,0.19097219579132163
40.0,0.1909587997413181
44.0,0.19078466577892644
36.0,0.1903065167333407
39.0,0.18730547010911844
41.0,0.18441308468325154
29.0,0.1814907423327635
35.0,0.18109142416470375
33.0,0.17889508668748658
23.0,0.17834286472239239
26.0,0.177454110498499
30.0,0.17714453410830727
27.0,0.17484318117947337
34.0,0.17436595005833505
32.0,0.17299117037050446
25.0,0.17256200943499342
24.0,0.1711250434944024
28.0,0.1676242686513493
17.0,0.16397861813988293
2.0,0.16304089056655413
16.0,0.16204408308607762
22.0,0.16024104588506416
15.0,0.1600285890481773
20.0,0.15806774040007485
21.0,0.1556645037789385
11.0,0.1551022814882901
14.0,0.15414554381632165
19.0,0.15330642692055624
8.0,0.15193392040476544
4.0,0.1505337507316188
18.0,0.14863200142887903
12.0,0.14825981815862332
10.0,0.14781948622344598
3.0,0.14513183818573494
13.0,0.13845452107910294
5.0,0.1376156993566795
9.0,0.13749062789596694
7.0,0.13532611427364863
6.0,0.1315670902451083
