nclusters,silhouettescore
49.0,0.21648705824312076
47.0,0.2114176843367483
46.0,0.20991411821539643
44.0,0.20897997336647986
37.0,0.2087602041952155
48.0,0.2079356359142692
41.0,0.2071463263238314
32.0,0.2065238592032946
45.0,0.2064288003166648
35.0,0.20598900132201473
36.0,0.2048711024828092
43.0,0.20441626818154424
38.0,0.20370677666147052
31.0,0.2032138690642987
40.0,0.19929215455037166
42.0,0.19712901592885362
39.0,0.1964996999860858
29.0,0.19424209328824257
28.0,0.19243677891595098
23.0,0.19044713496539503
27.0,0.18964159716908385
33.0,0.18797974154367933
30.0,0.186827346764099
18.0,0.18661327022151178
34.0,0.18471268308106478
25.0,0.1839838182364384
15.0,0.18301454272145704
26.0,0.18225340206699742
22.0,0.18151347282587996
24.0,0.1810355894952594
21.0,0.17957231131387114
14.0,0.1769168315398902
20.0,0.1768865320326537
19.0,0.17398231171879933
17.0,0.16988903290799684
12.0,0.1695351104804176
16.0,0.1690447017290325
10.0,0.1689324645790587
13.0,0.16887377816178775
11.0,0.16745252503544378
5.0,0.16731599673295336
9.0,0.15979269528706116
6.0,0.14741795288846343
8.0,0.1441058766866385
2.0,0.14126440972910542
4.0,0.14069102376435824
7.0,0.14036214893561394
3.0,0.13706113889533855
